"Or upload your photo","O sube tu foto"
"Recommended size: ","Tamaño recomendado: "
"Support gif, jpg, png files.","Archivos soportados gif, jpg, png."
"Sender name (optional):","Nombre del remitente (opcional):"
"Recipient email address:","Email del destinatario:"
"Recipient email address","Email del destinatario"
"Get notification email when your friend receives Gift Card","Obtener una notificación email cuando tu amigo recibe el Gift Card"
"Valule","Valor"
"Select a template","Selecciona una plantilla"
"Recipient name:","Nombre del destinatario:"
"Recipient name","Nombre del destinatario"
"Day to send","Enviar el"
"Value","Valor"
"Gift Card template","Plantilla Gift Card"
"Gift Card value","Valor del Gift Card"
"Expired Date","Fecha expiración"
"Redeem","Agregar a mi cuenta"
"Gift Cards cannot be used to purchase Gift Card products","Gift Cards no pueden ser usado para comprar otros productos Gift Card"
"My Gift Card Credit","Mi Crédito Gift Card"
"Current Balance","Balance Actual"
"Changed Time ","Cambiar fecha"
"Gift Card Code Details","Detalle del código Gift Card"
"Gift card ""%s"" is invalid.","Gift card ""%s"" es inválido"
"You have %d time(s) remaining to re-enter your Gift Card code.","Tu tienes $d intentos mas para reingresar tu código Gift Card"
"Invalid gift code. ","Codigo Gift Card inválido. "
"You have %d time(s) remaining to check your Gift Card code.","Tu tienes %d intentos mas para revisar tu código Gift Card"
"Preview Gift Card","Vista Previa Gift Card"
"Gift card ""%s"" was successfully redeemed","Gift card ""%s"" fue redimido exitosamente"
"Gift card ""%s"" is not avaliable","Gift card ""%s"" no esta disponible"
"You have %d time(s) remaining to re-enter Gift Card code.","Tu tienes %d intentos para reingresar el código Gift Card."
"Use Gift Card to check out","Usa tu Gift Card para pagar"
"Use Gift Card credit to check out (%s)","Usa el credito Gift Card para comprar (%s)"
"Use your Gift card(s) to pay for this order","Usa tu Gift card(s) para pagar esta orden"
"Enter your Gift Card code","Ingresa tu código Gift Card"
"Please enter your code","Por favor ingresa tu código"
"Please enter or chose your code","Por favor ingresa o seleccciona tu código"
"To manage your Gift Card, please click <a target=""_blank"" href=""%s"">here</a>.","Para administrar tu Gift Card, por favor click <a target=""_blank"" href=""%s"">aquí</a>."
"To check your Gift card information, please click <a target=""_blank"" href=""%s"">here</a>.","Para revisar información de tu Gift Card, por favor click <a target=""_blank"" href="%s">aquí</a>."
"You are using","Tu estas usando"
